,Station Name,Street Address,City,State,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,EV Pricing
516,Alderwood Mall PF Chang's,3000 184Th St Sw,Lynnwood,WA,98037,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,4.0,,Volta,47.83112125,-122.27003975,2023-09-29,152714,2023-09-29 01:06:49 UTC,2020-01-20,J1772,
517,Alderwood Mall Jamba Juice DCFC,3000 184Th St Sw,Lynnwood,WA,98037,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,1.0,Volta,47.828184,-122.275288,2023-09-29,152715,2023-09-29 01:07:06 UTC,2020-01-20,J1772COMBO,
518,Rosauers - Ridgefield,101 S. 47th Avenue,Ridgefield,WA,98642,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,2.0,,Volta,45.814726,-122.7015315,2023-09-29,152745,2023-09-29 01:07:56 UTC,2019-12-30,J1772,
519,Port of Seattle - Shilshole Bay Marina North Lot,"7001 Seaview Ave, NW #100",Seattle,WA,98117,Public,24 hours daily,,4.0,,Blink Network,47.680804938616,-122.40486107918,2023-09-29,152996,2023-09-29 00:01:14 UTC,2019-04-03,J1772,$1.25-$3.50/Hr Variable Parking Fee
520,EVERETT YMCA EVERETT YMCA #3,4730 Colby Ave,Everett,WA,98203,Public,24 hours daily,,2.0,,ChargePoint Network,47.954737,-122.208024,2023-09-29,153061,2023-09-29 00:26:55 UTC,2020-01-25,J1772,
521,Birch Bay Square - Tesla Supercharger,8115 Birch Bay Square,Blaine,WA,98230,Public,24 hours daily,,,14.0,Tesla,48.937845,-122.667679,2023-07-01,153456,2023-07-14 19:41:28 UTC,2020-01-31,TESLA,
522,CAPITAL GATEWAY STATION 7,505 14th Ave SE,Olympia,WA,98501,Public,24 hours daily,,1.0,,ChargePoint Network,47.035837,-122.894963,2023-09-29,153586,2023-09-29 00:28:53 UTC,2020-02-11,J1772,
523,Hampton Inn and Suites,1531 Kelly Place,Walla Walla,WA,99362,Public,24 hours daily,,2.0,,Blink Network,46.0459904,-118.3568298,2023-09-29,153928,2023-09-29 00:01:43 UTC,2019-07-22,J1772,FREE
524,BELLEVUE 110TH & 10TH,938 110th Ave NE,Bellevue,WA,98004,Public,24 hours daily,,1.0,,ChargePoint Network,47.61903,-122.19342,2023-09-29,154094,2023-09-29 00:29:03 UTC,2020-02-27,J1772,
525,BELLEVUE X-ROADS PARK 2,16256 NE 8th St,Bellevue,WA,98008,Public,24 hours daily,,2.0,,ChargePoint Network,47.617126,-122.12226,2023-09-29,154096,2023-09-29 00:28:59 UTC,2020-02-27,J1772,
526,CPU EC 2,1200 Fort Vancouver Way Southside Public Park,Vancouver,WA,98663,Public,24 hours daily,,1.0,,ChargePoint Network,45.62946,-122.663366,2023-09-29,154099,2023-09-29 00:25:51 UTC,2020-02-27,J1772,
527,HINSHAWSHONDA SHOP 01,2605 Auburn Way N,Auburn,WA,98002,Public,24 hours daily,,1.0,,ChargePoint Network,47.330144,-122.22253,2023-09-29,154101,2023-09-29 00:22:10 UTC,2020-02-27,J1772,
528,PORT OF OLYMPIA EAST,700 Capitol Way N,Olympia,WA,98501,Public,24 hours daily,,2.0,,ChargePoint Network,47.050914,-122.902502,2023-09-29,154184,2023-09-29 00:28:59 UTC,2020-02-29,J1772,
